time,rule,magic,signal_id,dir,ref_entry,close_price,pips,closed_count,profit_usd,hold_min,remain,reason
2026.09.09 10:45:56,S,600018,-1004472107780_2192,BUY,4400.70,4410.70,100.0,1,9.25,1093.1,0,S:1段目
2026.09.09 10:45:57,I,600008,-1004472107780_2188,BUY,4403.43,4410.93,75.0,3,13.80,1103.4,3,I:TP1(半数)
2026.09.09 10:46:00,P,600015,-1004472107780_2192,BUY,4401.01,4411.07,100.6,1,8.97,1093.2,1,P:半数決済
2026.09.09 10:46:00,G,600006,-1004472107780_2221,SELL,4405.03,4411.07,-60.4,1,-6.33,100.3,0,SL確定足突破
2026.09.09 10:46:02,K,600010,-1004472107780_2221,SELL,4406.03,4411.07,-50.4,7,-44.61,82.0,0,SL確定足突破
2026.09.09 11:50:10,F,600005,-1004472107780_2230,SELL,4401.89,4399.80,20.9,3,5.80,1.2,2,F:半数決済(+20p)
2026.09.09 12:11:37,C,600002,-1004472107780_2230,SELL,4403.11,4398.66,44.5,4,12.09,22.9,3,C:TP1到達
2026.09.09 12:11:41,M,600012,-1004472107780_2230,SELL,4403.11,4398.66,44.5,4,11.16,23.1,3,C:TP1到達
2026.09.09 12:11:45,J,600009,-1004472107780_2230,SELL,4403.11,4398.66,44.5,4,11.02,22.8,3,J:TP1到達
2026.09.09 12:11:48,G,600006,-1004472107780_2230,SELL,4403.11,4398.66,44.5,3,8.98,23.0,4,G:1段目(+40p)
2026.09.09 12:11:51,H,600007,-1004472107780_2230,SELL,4403.11,4398.66,44.5,4,12.32,23.0,3,H:TP1到達
2026.09.09 12:11:54,E,600004,-1004472107780_2230,SELL,4403.11,4398.66,44.5,0,0.00,0.0,7,E:建値移動(決済なし)
2026.09.09 12:13:13,E,600004,-1004472107780_2230,SELL,4403.11,4398.23,48.8,4,14.88,24.4,3,E:1.1倍水準到達
2026.09.09 12:42:23,R,600017,-1004472107780_2230,SELL,4403.11,4395.60,75.1,1,7.51,46.2,0,R:半数決済
2026.09.09 12:42:24,I,600008,-1004472107780_2230,SELL,4403.11,4395.60,75.1,4,24.24,53.8,3,I:TP1(半数)
2026.09.09 12:45:39,G,600006,-1004472107780_2230,SELL,4403.11,4395.03,80.8,2,13.84,56.7,2,G:2段目(+80p)
2026.09.09 12:45:40,T,600019,-1004472107780_2230,SELL,4403.11,4395.03,80.8,4,27.41,57.0,3,T:半数決済
2026.09.09 12:46:18,E,600004,-1004472107780_2230,SELL,4403.11,4394.25,88.6,3,24.73,52.9,0,E:2.0倍水準到達
2026.09.09 12:50:48,P,600015,-1004472107780_2230,SELL,4403.11,4393.11,100.0,4,34.66,62.3,3,P:半数決済
2026.09.09 12:50:50,S,600018,-1004472107780_2230,SELL,4403.11,4393.11,100.0,3,25.44,62.2,4,S:1段目
2026.09.09 12:50:50,H,600007,-1004472107780_2230,SELL,4403.11,4393.11,100.0,0,0.00,0.0,3,H:建値移動(決済なし)
2026.09.09 12:55:04,Q,600016,-1004472107780_2230,SELL,4403.11,4391.11,120.0,4,43.47,66.5,3,Q:半数決済
2026.09.09 12:59:31,F,600005,-1004472107780_2237,BUY,4388.94,4390.95,20.1,5,-4.30,5.2,4,F:半数決済(+20p)
2026.09.09 13:01:29,U,600020,-1004472107780_2230,SELL,4403.11,4388.09,150.2,4,53.36,72.5,3,U:半数決済
2026.09.09 13:01:47,T,600019,-1004472107780_2230,SELL,4403.11,4387.09,160.2,0,0.00,0.0,1,T:全決済
2026.09.09 13:04:27,M,600012,-1004472107780_2237,BUY,4387.50,4391.50,40.0,6,2.13,9.3,5,C:TP1到達
2026.09.09 13:04:31,C,600002,-1004472107780_2237,BUY,4387.50,4391.50,40.0,6,-0.85,9.9,6,C:TP1到達
2026.09.09 13:04:37,J,600009,-1004472107780_2237,BUY,4387.50,4391.50,40.0,6,-1.49,10.2,6,J:TP1到達
2026.09.09 13:04:44,H,600007,-1004472107780_2237,BUY,4387.50,4391.50,40.0,6,-3.76,10.1,6,H:TP1到達
2026.09.09 13:04:45,G,600006,-1004472107780_2237,BUY,4387.50,4391.50,40.0,4,-9.22,10.7,8,G:1段目(+40p)
2026.09.09 13:05:22,E,600004,-1004472107780_2237,BUY,4387.50,4391.95,44.5,0,0.00,0.0,12,E:建値移動(決済なし)
2026.09.09 13:07:02,E,600004,-1004472107780_2237,BUY,4387.50,4392.33,48.3,6,5.64,12.3,5,E:1.1倍水準到達
2026.09.09 13:20:00,Q,600016,-1004472107780_2230,SELL,4403.11,4394.46,86.5,3,23.89,86.7,0,SL確定足突破
2026.09.09 13:20:03,I,600008,-1004472107780_2237,BUY,4387.50,4395.14,76.4,4,11.98,26.0,4,I:TP1(半数)
2026.09.09 13:20:06,R,600017,-1004472107780_2237,BUY,4387.50,4395.14,76.4,5,15.80,25.8,5,R:半数決済
2026.09.09 13:20:11,G,600006,-1004472107780_2237,BUY,4387.50,4395.57,80.7,4,21.72,24.4,4,G:2段目(+80p)
2026.09.09 13:20:12,T,600019,-1004472107780_2237,BUY,4387.50,4395.57,80.7,3,16.00,22.8,2,T:半数決済
2026.09.09 13:33:35,E,600004,-1004472107780_2237,BUY,4387.50,4396.37,88.7,4,33.14,32.9,0,E:2.0倍水準到達
2026.09.09 13:37:02,S,600018,-1004472107780_2237,BUY,4387.50,4397.52,100.2,2,10.10,44.3,4,S:1段目
2026.09.09 13:37:02,H,600007,-1004472107780_2237,BUY,4387.50,4397.52,100.2,0,0.00,0.0,4,H:建値移動(決済なし)
2026.09.09 13:37:03,P,600015,-1004472107780_2237,BUY,4387.50,4397.52,100.2,3,22.85,39.7,2,P:半数決済
2026.09.09 13:47:32,F,600005,-1004472107780_2246,BUY,4394.45,4396.57,21.2,2,3.23,3.7,2,F:半数決済(+20p)
2026.09.09 13:48:14,G,600006,-1004472107780_2246,BUY,4394.45,4398.50,40.5,2,6.86,4.3,2,G:1段目(+40p)
2026.09.09 13:48:17,C,600002,-1004472107780_2246,BUY,4394.45,4398.50,40.5,2,6.73,4.4,2,C:TP1到達
2026.09.09 13:48:21,H,600007,-1004472107780_2246,BUY,4394.45,4398.50,40.5,2,6.02,4.5,2,H:TP1到達
2026.09.09 13:48:36,M,600012,-1004472107780_2246,BUY,4394.75,4398.90,41.5,2,7.17,4.5,1,C:TP1到達
2026.09.09 13:48:39,J,600009,-1004472107780_2246,BUY,4394.75,4398.90,41.5,2,6.96,4.5,1,J:TP1到達
2026.09.09 13:48:58,E,600004,-1004472107780_2246,BUY,4394.72,4399.23,45.1,0,0.00,0.0,3,E:建値移動(決済なし)
2026.09.09 13:49:37,M,600012,-1004472107780_2237,BUY,4387.50,4399.51,120.1,0,0.00,0.0,1,C:TP2到達
2026.09.09 13:49:37,Q,600016,-1004472107780_2237,BUY,4387.50,4399.51,120.1,3,28.41,52.3,2,Q:半数決済
